State,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023
Alabama,"1,880","2,100","2,460","2,680","2,950","2,940","3,090","5,020","5,780","6,920","7,220"
Alaska,320,360,410,460,510,510,530,690,750,910,950
Arizona,"2,540","2,830","3,240","3,600","4,010","4,020","4,200","5,840","6,660","7,940","8,320"
Arkansas,"1,160","1,290","1,500","1,690","1,860","1,870","1,960","2,970","3,330","4,110","4,290"
California,"11,500","13,070","15,160","16,940","18,880","18,890","19,860","28,540","32,300","39,550","41,900"
Colorado,"3,160","3,530","4,040","4,450","4,880","4,890","5,070","6,790","7,550","8,930","9,440"
Connecticut,"1,480","1,660","1,940","2,170","2,380","2,400","2,500","2,780","4,080","5,090","5,620"
Delaware,370,420,480,530,600,610,630,"1,060","1,130","1,360","1,510"
District of Columbia,"1,040","1,180","1,380","1,530","1,680","1,680","1,680","2,090","2,280","2,660","2,860"
Florida,"8,230","9,180","10,460","11,620","12,720","12,730","13,230","19,770","22,620","27,240","28,750"
Georgia,"4,990","5,630","6,480","7,140","7,880","7,910","8,420","13,870","15,090","18,460","19,850"
Hawaii,510,570,670,730,800,790,820,"1,170","1,290","1,530","1,610"
Idaho,"1,030","1,130","1,260","1,370","1,530","1,520","1,590","2,060","2,280","2,650","2,780"
Illinois,"5,420","6,120","7,180","7,850","8,620","8,650","9,070","13,030","14,510","17,420","18,980"
Indiana,"2,740","3,090","3,570","3,920","4,270","4,290","4,460","6,330","7,050","8,550","9,190"
Iowa,"1,870","2,090","2,370","2,590","2,840","2,850","3,000","3,960","4,360","5,140","5,360"
Kansas,"1,650","1,840","2,090","2,300","2,520","2,530","2,620","3,620","4,010","4,820","5,030"
Kentucky,"1,690","1,910","2,200","2,440","2,700","2,690","2,840","4,240","4,770","5,760","6,030"
Louisiana,"1,570","1,730","1,990","2,200","2,410","2,420","2,510","4,050","4,490","5,800","6,090"
Maine,750,850,970,"1,090","1,220","1,220","1,260","1,370","1,880","2,290","2,490"
Maryland,"4,140","4,700","5,510","6,070","6,750","6,810","6,690","10,010","10,920","13,470","14,590"
Massachusetts,"3,520","3,980","4,520","4,970","5,440","5,490","5,680","6,220","8,270","10,050","10,990"
Michigan,"5,470","6,120","7,000","7,640","8,400","8,400","8,830","12,480","13,970","16,580","18,030"
Minnesota,"3,740","4,200","4,800","5,270","5,780","5,790","6,090","8,070","8,800","10,420","10,960"
Mississippi,"1,020","1,130","1,310","1,460","1,620","1,630","1,730","3,040","3,430","4,260","4,490"
Missouri,"3,570","4,020","4,570","5,040","5,510","5,510","5,730","8,040","8,900","10,560","11,120"
Montana,720,810,910,"1,000","1,090","1,090","1,130","1,430","1,570","1,880","2,000"
Nebraska,"1,080","1,200","1,350","1,500","1,670","1,660","1,730","2,380","2,590","3,080","3,210"
Nevada,890,990,"1,130","1,240","1,360","1,360","1,430","2,030","2,330","2,820","2,960"
New Hampshire,770,870,980,"1,100","1,220","1,230","1,280","1,380","1,890","2,250","2,450"
New Jersey,"3,210","3,690","4,350","4,750","5,240","5,280","5,570","8,300","8,980","10,990","12,000"
New Mexico,820,930,"1,060","1,160","1,280","1,280","1,340","1,890","2,150","2,580","2,710"
New York,"11,410","12,990","15,260","17,440","19,520","19,490","20,100","22,710","30,420","36,690","39,960"
North Carolina,"3,670","4,170","4,790","5,320","5,860","5,880","6,170","9,650","10,420","12,690","13,620"
North Dakota,290,340,390,420,460,460,490,680,750,910,940
Ohio,"6,900","7,690","8,890","9,720","10,640","10,620","11,160","16,060","17,610","20,960","22,520"
Oklahoma,"1,380","1,510","1,730","1,890","2,090","2,080","2,190","3,200","3,550","4,330","4,550"
Oregon,"3,120","3,480","3,960","4,320","4,780","4,780","4,970","6,470","7,130","8,380","8,770"
Pennsylvania,"6,650","7,590","8,970","9,990","10,920","10,990","11,330","17,010","17,630","21,180","22,790"
Puerto Rico,510,550,630,720,720,720,720,720,720,720,720
Rhode Island,490,550,640,690,760,780,800,890,"1,230","1,490","1,610"
South Carolina,"2,630","2,940","3,390","3,770","4,100","4,120","4,300","6,720","7,070","8,560","9,290"
South Dakota,610,690,790,870,930,930,970,"1,270","1,380","1,640","1,720"
Tennessee,"2,460","2,720","3,140","3,500","3,820","3,820","4,000","6,030","6,850","8,310","8,790"
Texas,"7,830","8,800","10,170","11,410","12,660","12,690","13,330","20,630","23,550","29,120","30,620"
Utah,"1,010","1,110","1,270","1,390","1,520","1,510","1,560","2,150","2,340","2,760","2,890"
Vermont,510,560,630,710,770,770,800,910,"1,220","1,550","1,690"
Virginia,"5,180","5,830","6,660","7,310","8,080","8,120","8,460","12,040","12,940","15,530","16,700"
Washington,"3,870","4,340","4,980","5,410","5,920","5,920","6,150","8,010","8,840","10,540","11,070"
West Virginia,950,"1,060","1,210","1,300","1,450","1,460","1,560","2,290","2,350","2,800","3,040"
Wisconsin,"3,270","3,680","4,220","4,620","5,070","5,060","5,240","7,160","7,820","9,190","9,920"
Wyoming,230,250,290,330,360,360,380,500,560,680,720
All Other Locations,500,560,610,650,"1,530","2,520","2,800","4,000","4,580","5,310","6,520"
